transaction_id,vehicle_id,plaza_id,event_ts,amount_cents,payment_method,status
T0001,V001,P001,2026-05-01 07:15:00,1180,AUTOMATIC_TAG,COMPLETED
T0002,V002,P002,2026-05-01 07:42:00,1450,AUTOMATIC_TAG,COMPLETED
T0003,V003,P001,2026-05-01 08:05:00,2360,AUTOMATIC_TAG,COMPLETED
T0004,V004,P002,2026-05-01 08:30:00,4350,AUTOMATIC_TAG,COMPLETED
T0005,V005,P003,2026-05-01 09:10:00,990,CASH,COMPLETED
T0006,V006,P003,2026-05-01 09:45:00,4455,AUTOMATIC_TAG,COMPLETED
T0007,V007,P004,2026-05-01 10:00:00,1800,CARD,COMPLETED
T0008,V008,P004,2026-05-01 10:20:00,3240,AUTOMATIC_TAG,COMPLETED
T0009,V001,P002,2026-05-01 12:00:00,1450,AUTOMATIC_TAG,FAILED
T0010,V002,P001,2026-05-01 13:15:00,0,AUTOMATIC_TAG,COMPLETED
T0011,V003,P005,2026-05-01 14:00:00,1740,AUTOMATIC_TAG,COMPLETED
T0012,V004,P001,2026-05-02 06:30:00,3540,AUTOMATIC_TAG,COMPLETED
T0013,V005,P003,2026-05-02 07:00:00,990,CASH,COMPLETED
T0014,V006,P005,2026-05-02 07:25:00,3915,AUTOMATIC_TAG,COMPLETED
T0015,V007,P004,2026-05-02 08:00:00,1620,AUTOMATIC_TAG,COMPLETED
T0016,V007,P004,2026-05-02 08:03:00,1620,AUTOMATIC_TAG,COMPLETED
T0017,V008,P002,2026-05-02 09:00:00,2900,AUTOMATIC_TAG,COMPLETED
T0018,V001,P001,2026-05-02 10:00:00,1180,AUTOMATIC_TAG,REVERSED
T0019,V002,P002,2026-05-02 11:30:00,1450,AUTOMATIC_TAG,COMPLETED
T0020,V003,P001,2026-05-02 12:45:00,2360,AUTOMATIC_TAG,COMPLETED
T0021,V004,P002,2026-05-03 06:15:00,4350,AUTOMATIC_TAG,COMPLETED
T0022,V005,P003,2026-05-03 07:05:00,900,CASH,COMPLETED
T0023,V006,P003,2026-05-03 08:00:00,4455,AUTOMATIC_TAG,COMPLETED
T0024,V007,P004,2026-05-03 09:00:00,1620,AUTOMATIC_TAG,COMPLETED
T0025,V008,P004,2026-05-03 09:30:00,3240,AUTOMATIC_TAG,COMPLETED
T0020,V003,P001,2026-05-02 12:45:00,2360,AUTOMATIC_TAG,COMPLETED
T0026,V001,P002,2026-05-03 10:00:00,,AUTOMATIC_TAG,COMPLETED
